用户位置	车流方向	当前时间打到车的概率	平均等待时间(分钟)	运行时间(秒)
(116.4626974, 39.9071269)	自东向西	2013/9/10 21:20:00	0.80	1.85	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/10 21:25:00	0.80	1.85	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/10 21:30:00	0.77	2.06	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/10 21:35:00	0.75	2.15	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/10 21:40:00	0.78	2.00	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/11 18:54:00	0.63	3.00	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/11 18:59:00	0.68	2.61	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/11 19:04:00	0.74	2.22	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/11 19:09:00	0.62	3.09	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/11 19:14:00	0.65	2.87	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/13 8:47:00	0.55	3.81	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/13 8:52:00	0.55	3.74	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/13 8:57:00	0.69	2.54	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/13 9:02:00	0.70	2.48	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/13 9:07:00	0.73	2.30	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/15 10:12:00	0.49	4.50	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/15 10:17:00	0.63	3.00	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/15 10:22:00	0.81	1.80	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/15 10:27:00	0.49	4.50	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/15 10:32:00	0.49	4.50	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/14 17:33:00	0.74	2.25	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/14 17:38:00	0.74	2.25	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/14 17:43:00	0.81	1.80	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/14 17:48:00	0.71	2.40	0.000
(116.4626974, 39.9071269)	自东向西	2013/9/14 17:53:00	0.76	2.12	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/10 7:45:00	0.93	1.14	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/10 7:50:00	0.92	1.19	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/10 7:55:00	0.90	1.30	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/10 8:00:00	0.92	1.19	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/10 8:05:00	0.94	1.08	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/11 19:20:00	1.00	0.56	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/11 19:25:00	1.00	0.53	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/11 19:30:00	1.00	0.55	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/11 19:35:00	0.99	0.57	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/11 19:40:00	1.00	0.53	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/14 8:11:00	0.99	0.65	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/14 8:16:00	0.99	0.58	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/14 8:21:00	0.98	0.75	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/14 8:26:00	0.99	0.61	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/14 8:31:00	0.99	0.59	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/9 20:42:00	1.00	0.54	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/9 20:47:00	1.00	0.54	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/9 20:52:00	0.99	0.58	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/9 20:57:00	0.99	0.63	0.000
(116.4154127, 39.86242801)	自北向南	2013/9/9 21:02:00	0.99	0.66	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/10 8:24:00	0.30	8.25	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/10 8:29:00	0.28	9.00	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/10 8:34:00	0.20	13.20	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/10 8:39:00	0.22	12.38	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/10 8:44:00	0.28	9.00	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/11 20:30:00	0.53	3.96	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/11 20:35:00	0.48	4.60	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/11 20:40:00	0.45	5.08	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/11 20:45:00	0.45	5.08	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/11 20:50:00	0.49	4.50	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/14 8:47:00	0.28	9.00	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/14 8:52:00	0.08	36.00	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/14 8:57:00	0.15	18.00	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/14 9:02:00	0.34	7.20	0.000
(116.4159191, 39.85986098)	自南向北	2013/9/14 9:07:00	0.22	12.00	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 13:28:00	0.98	0.79	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 13:33:00	0.98	0.72	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 13:38:00	0.98	0.73	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 13:43:00	0.98	0.77	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 13:48:00	0.98	0.74	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 19:05:00	0.93	1.16	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 19:10:00	0.93	1.16	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 19:15:00	0.94	1.09	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/10 19:20:00	0.94	1.06	0.000
